STATION,STATION_ID,BEGIN_DATE,END_DATE,STATE,LATITUDE,LONGITUDE,ELEVATION_(M),SNOWFALL_(IN)
"MARTIN 13.6 NNE, SD US",US1SDBN0006,2007-06-08,2019-11-26,South Dakota,43.350238,-101.601781,930.2,1
"MAURINE 12 SW, SD US",USC00395325,1974-12-31,2019-12-15,South Dakota,44.86559,-102.56571,801.3,2.5
"MILESVILLE 5 NE, SD US",USC00395544,1911-08-17,2019-12-10,South Dakota,44.5171,-101.6184,681.8,6
"MOBRIDGE MUNICIPAL AIRPORT, SD US",USW00094052,1997-12-31,2019-12-14,South Dakota,45.54639,-100.40778,522.7,0.2
"MOUNT RUSHMORE NATIONAL MEMORIAL, SD US",USC00395870,1962-01-31,2019-12-14,South Dakota,43.8769,-103.4578,1618.8,4.9
"NEWELL 2.8 ENE, SD US",US1SDBT0004,2007-08-05,2018-09-05,South Dakota,44.7333,-103.3667,862,0.9
"NEWELL 6.5 ENE, SD US",US1SDBT0010,2013-03-21,2019-12-14,South Dakota,44.74373,-103.29046,853.1,1.4
"ORAL, SD US",USC00396304,1971-04-30,2019-12-15,South Dakota,43.4033,-103.2683,902.2,2
"PACTOLA DAM, SD US",USC00396427,1951-07-31,2019-12-15,South Dakota,44.0622,-103.4819,1438.7,4
"PIEDMONT 4.6 E, SD US",US1SDMD0032,2014-03-20,2019-12-15,South Dakota,44.230679,-103.296615,981.2,3.5
"PIERRE REGIONAL AIRPORT, SD US",USW00024025,1892-12-31,2019-12-15,South Dakota,44.3813,-100.2855,531,8
"POWDERVILLE 8 NNE, MT US",USC00246691,1964-04-14,2019-12-12,Montana,45.8525,-105.035,853.4,0.7
"RALEIGH 5.0 SW, ND US",US1NDGT0009,1998-06-16,2018-12-20,North Dakota,46.3062315,-101.3824714,678.5,1
"RAPID CITY 2.0 SSE, SD US",US1SDPN0044,2012-05-02,2019-09-25,South Dakota,44.048664093,-103.2173233032,1010.1,4
"RAPID CITY 3.4 WNW, SD US",US1SDPN0002,2007-06-03,2019-12-15,South Dakota,44.0886,-103.2997,1058.9,2.9
"RAPID CITY 3.5 NE, SD US",US1SDPN0038,2012-01-19,2019-12-15,South Dakota,44.095824,-103.212117,960.7,3.3
"RAPID CITY 4 NW, SD US",USC00396947,1949-05-31,2019-12-15,South Dakota,44.12055,-103.28417,1060.4,1
"RAPID CITY 4.7 E, SD US",US1SDPN0057,2014-05-20,2019-12-14,South Dakota,44.0623779297,-103.139831543,962.9,2
"RAPID CITY 5.4 SW, SD US",US1SDPN0004,2007-05-31,2019-12-14,South Dakota,44.01345,-103.30079,1186,4.6
"RAPID CITY 6.9 W, SD US",US1SDPN0040,2012-03-31,2019-12-15,South Dakota,44.086568,-103.370082,1278.9,4.5
"RAPID CITY 9.6 WNW, SD US",US1SDPN0056,2014-04-20,2019-12-15,South Dakota,44.127354,-103.411575,1298.4,3.4
"RAPID CITY REGIONAL AIRPORT, SD US",USW00024090,1948-04-30,2019-12-15,South Dakota,44.0433,-103.0536,963.2,8.8
"RAPID CITY WEATHER FORECAST OFFICE, SD US",USC00396948,1995-12-31,2019-12-14,South Dakota,44.0727,-103.2108,1029.9,9.7
"RED OWL, SD US",USC00397073,1951-07-31,2019-12-15,South Dakota,44.6981,-102.5608,845.2,8
"REDBIRD, WY US",USC00487555,1948-07-31,2019-12-13,Wyoming,43.245,-104.288,1185.7,3
"RIDGEWAY 1 S, MT US",USC00247034,1952-05-12,2019-12-14,Montana,45.5022,-104.4477,1010.7,3
"RUSHVILLE 7.3 SSW, NE US",US10sher005,2006-10-24,2019-12-15,Nebraska,42.6149,-102.4964,1154.9,2
"SONNETTE 7 SW, MT US",USC00247740,1965-09-30,2019-12-10,Montana,45.3242,-105.9137,1193,0.3
"SPEARFISH 0.1 WSW, SD US",US1SDLW0015,2011-05-10,2019-12-15,South Dakota,44.4881686,-103.8492967,1144.2,1
"SUNDANCE 7.0 SSE, WY US",US1WYCK0005,2005-05-06,2019-09-29,Wyoming,44.3075,-104.317,1475.8,2
"SUNDANCE, WY US",USC00488705,1892-12-31,2019-12-13,Wyoming,44.4121,-104.3567,1431,4.2
"TIMBER LAKE, SD US",USC00398307,1911-09-30,2019-12-14,South Dakota,45.4284,-101.0764,662.3,1.4
"VALENTINE 0.7 W, NE US",US1NECH0001,2014-09-27,2019-11-10,Nebraska,42.8751,-100.5634,788.5,11
"VALENTINE MILLER FIELD, NE US",USW00024032,1947-12-31,2019-12-15,Nebraska,42.8783,-100.55,789.4,8.7
"VALENTINE NUMBER 1, NE US",USC00258751,1998-04-30,2019-12-14,Nebraska,42.8752,-100.5516,789.1,11
"VALENTINE NWR, NE US",USC00258755,1937-03-31,2019-12-13,Nebraska,42.57032,-100.69327,896.1,6.4
"WALL 13.0 SSE, SD US",US1SDPN0009,2007-07-11,2019-12-14,South Dakota,43.820306,-102.128306,818.1,6
"WASTA, SD US",USC00398911,1925-06-30,2019-12-14,South Dakota,44.06794,-102.44986,709.6,3
"WHITEWOOD 4.2 NNW, SD US",US1SDLW0001,2007-05-31,2019-12-15,South Dakota,44.517871,-103.669789,1108.9,1.5
